Allomyces macrogynus	Broad	https://www.broadinstitute.org/annotation/genome/multicellularity_project/MultiHome.html
Spizellomyces punctatus	Broad	https://www.broadinstitute.org/annotation/genome/multicellularity_project/MultiHome.html
Batrachochytrium dendrobatidis JEL423	Broad
Batrachochytrium dendrobatidis	JAM81	JGI	http://genome.jgi.doe.gov/Batde5
Gonapodya	JGI	http://genome.jgi.doe.gov/programs/fungi/index.jsf
Piromyces	JGI	http://genome.jgi.doe.gov/PirE2_1/
Homoloaphlyctis polyrhiza	GenBank	AFSM00000000.1; http://fungalgenomes.org/public/chytrid/Hp_JEL142/pep/
